id,title,description,created_at,updated_at,url,image_file_name,image_content_type,image_file_size,image_updated_at,image_remote_url,retina_dimensions
210,"Black Hole Blues and Other Songs from Outer Space","This book is about LIGO, the gravitational wave detector!","2016-03-29 02:46:22.597062","2016-03-29 02:46:22.597062",http://www.amazon.com/gp/product/B017QLQLQW?tag=randohouseinc11565-20,51t17GaLbqL._SY445_QL70_.jpg,image/jpeg,23972,"2016-03-29 02:46:22.118050",http://ecx.images-amazon.com/images/I/51t17GaLbqL._SY445_QL70_.jpg,"---
:image:
  :medium:
    :width: 151
    :height: 222
"
211,"World War Z","","2016-04-03 04:31:28.935230","2016-04-03 04:31:50.010474",https://www.goodreads.com/book/show/8908.World_War_Z,8908._UY475_SS475_.jpg,image/jpeg,59942,"2016-04-03 04:31:49.637727",https://i.gr-assets.com/images/S/photo.goodreads.com/books/1386328204i/8908._UY475_SS475_.jpg,"---
:image:
  :medium:
    :width: 237
    :height: 237
"
212,"Reading Wedge Pillow ($79)","A coworker linked me to this. He lies on his stomach on it, which I'd like to try. I want the large size, but don't have an opinion about color.","2016-04-04 18:21:49.853317","2016-04-04 18:21:49.853317",http://www.thecompanystore.com/firm-down-feather-reading-wedge-pillow/P880-READINGWEDGE.html,Knee_Wedge,image/jpeg,9086,"2016-04-04 18:21:49.401554",http://i1.adis.ws/i/hanoverdirect/Knee_Wedge?$dw400$,"---
:image:
  :medium:
    :width: 200
    :height: 200
"
213,"Mathematics without Apologies: Portrait of a Problematic Vocation","","2016-04-18 17:54:54.180003","2016-04-18 17:54:54.180003",http://www.amazon.com/Mathematics-without-Apologies-Problematic-Essentials-ebook/dp/B00NRB9QTK/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=1460636727&sr=8-1,,,,,"",
215,"The Path: What Chinese Philosophers Can Teach Us About the Good Life - Kindle edition by Michael Puett, Christine Gross-Loh. Religion & Spirituality Kindle eBooks @ Amazon.com.","","2016-04-30 13:16:54.817579","2016-04-30 13:16:54.817579",http://www.amazon.com/Path-Chinese-Philosophers-Teach-About-ebook/dp/B00P42X0WE/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=,519ouewtjiL._SY445_QL70_.jpg,image/jpeg,20012,"2016-04-30 13:16:54.184923",http://ecx.images-amazon.com/images/I/519ouewtjiL._SY445_QL70_.jpg,"---
:image:
  :medium:
    :width: 138
    :height: 222
"
216,"Iron Will DVD","Just the kind of story he'd like!","2016-05-09 03:12:08.066250","2016-05-09 03:12:21.149244",http://www.amazon.com/Iron-Will-MacKenzie-Astin/dp/B0000633U4/ref=sr_1_1?ie=UTF8&qid=1462763428&sr=8-1&keywords=iron+will,51Q2RC72WJL._AC_UL115_.jpg,image/jpeg,4675,"2016-05-09 03:12:20.669998",http://ecx.images-amazon.com/images/I/51Q2RC72WJL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 40
    :height: 57
"
217,"Fancier Dog Option","","2016-05-09 03:13:46.461766","2016-05-09 03:13:46.461766",http://www.amazon.com/Constructive-Playthings-Dog-Academy-Playset/dp/B00154QBPI/ref=pd_bxgy_21_img_3?ie=UTF8&refRID=1X470XNP9Y6WMJAKJGHW,61PXfwqlseL._AC_UL115_.jpg,image/jpeg,6738,"2016-05-09 03:13:46.099591",http://ecx.images-amazon.com/images/I/61PXfwqlseL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 56
    :height: 57
"
218,"More Modest Dog Option","","2016-05-09 03:14:22.905011","2016-05-09 03:14:22.905011",http://www.amazon.com/Melissa-Doug-9404-Canine-Companions/dp/B016R195U6/ref=sr_1_1?ie=UTF8&qid=1462763586&sr=8-1&keywords=melissa+doug+canine+companions,51-pjOsCcHL._AC_UL115_.jpg,image/jpeg,6250,"2016-05-09 03:14:22.516000",http://ecx.images-amazon.com/images/I/51-pjOsCcHL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 57
    :height: 51
"
219,"Perfect Puzzle","Just right -- 100 pieces AND a floor puzzle AND sea animals. Win win win!","2016-05-09 03:15:21.570615","2016-05-09 03:15:21.570615",http://www.amazon.com/Melissa-Doug-Under-Sea-Puzzle/dp/B000088UPU/ref=sr_1_2?ie=UTF8&qid=1462763679&sr=8-2&keywords=under+the+sea+puzzle,412SBYNR0AL._AC_UL115_.jpg,image/jpeg,2925,"2016-05-09 03:15:21.201337",http://ecx.images-amazon.com/images/I/412SBYNR0AL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 22
    :height: 57
"
220,"Young Gardener Book","","2016-05-09 03:21:07.671767","2016-05-09 03:21:07.671767",http://www.amazon.com/Young-Gardener-Stefan-Buczacki/dp/B006Z35M1S?ie=UTF8&keywords=young%20gardener&qid=1462764018&ref_=sr_1_1&sr=8-1,51BI9ySS6yL._SX218_BO1_204_203_200_QL40_.jpg,image/jpeg,11079,"2016-05-09 03:21:07.307082","http://ecx.images-amazon.com/images/I/51BI9ySS6yL._SX218_BO1,204,203,200_QL40_.jpg","---
:image:
  :medium:
    :width: 110
    :height: 143
"
222,"Nature books","This one for sure, and here's this one:

http://www.amazon.com/Bat-Loves-Night-Read-Wonder/dp/0763624381?ie=UTF8&psc=1&redirect=true&ref_=ox_sc_act_title_9&smid=ATVPDKIKX0DER

and there are others in the series if you want to make a set of it!","2016-05-09 03:33:05.022512","2016-05-09 03:33:05.022512",http://www.amazon.com/Walk-Wolf-Wonder-Janni-Howker/dp/0763618721?ie=UTF8&psc=1&redirect=true&ref_=ox_sc_act_title_16&smid=ATVPDKIKX0DER,5152BNGJKQL._AC_UL115_.jpg,image/jpeg,4701,"2016-05-09 03:33:04.567272",http://ecx.images-amazon.com/images/I/5152BNGJKQL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 52
    :height: 57
"
223,"Alpha and Omega","Tim always enjoys these movies!","2016-05-09 03:34:04.604609","2016-05-09 03:34:04.604609",http://www.amazon.com/Alpha-Omega-Family-Vacation-Digital/dp/B00Y8BNQ12?ie=UTF8&psc=1&redirect=true&ref_=ox_sc_act_title_12&smid=ATVPDKIKX0DER,61It6okz8ZL._AC_UL115_.jpg,image/jpeg,6254,"2016-05-09 03:34:04.240028",http://ecx.images-amazon.com/images/I/61It6okz8ZL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 43
    :height: 57
"
224,Germany,"Age-appropriate things about Germany or the German language would be welcome too!","2016-05-09 04:09:41.908448","2016-05-09 04:09:41.908448","",,,,,"",
225,"Kindle Fire","Tim is the only one without one, and while we don't want to encourage video gaming, it would be nice for him to have his own device for when it is allowed. The kindle has many games he loves. If his were blue he'd be easy to distinguish. A kid case wouldn't be amiss either, but no need to add to cost.","2016-05-09 04:12:07.504614","2016-05-09 04:12:07.504614",http://www.amazon.com/Fire-Tablet-Display-Wi-Fi-GB/dp/B018Y227MY?ie=UTF8&keywords=kindle%20fire&qid=1462766988&ref_=sr_1_9&sr=8-9,51QiofdTj6L._SY300_QL70_.jpg,image/jpeg,9388,"2016-05-09 04:12:07.111107",http://ecx.images-amazon.com/images/I/51QiofdTj6L._SY300_QL70_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
227,"Charm bracelet and charms","They would be SO into this idea! From here or anywhere is fine -- maybe a bracelet to start, and a charm or two?","2016-05-29 18:33:39.880502","2016-05-29 18:33:39.880502",https://www.sensationalbeginnings.com/store/sb/item/57858/charm-it-pink-flower-bracelet?source=4-3153-17,57858.gif,image/gif,66985,"2016-05-29 18:33:38.568569",https://d39rqydp4iuyht.cloudfront.net/store/product/image/57858.gif,"---
:image:
  :medium:
    :width: 300
    :height: 300
"
228,"Gymnastics Mat","This is a MUST. Anyone who has spent any time here knows that. Was thinking blue and green.","2016-05-29 19:12:30.997601","2016-05-29 19:13:02.780878",http://www.amazon.com/Gymnastics-Mats-Fasteners-Crosslink-Polyethylene/dp/B005D50MLY/ref=sr_1_33?ie=UTF8&qid=1464548389&sr=8-33-spons&keywords=gymnastics+mat+for+kids&psc=1,51Qs2EtNoML._SY300_QL70_.jpg,image/jpeg,16599,"2016-05-29 19:13:02.446036",http://ecx.images-amazon.com/images/I/51Qs2EtNoML._SY300_QL70_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
229,"Metallic Leotards","These go with the mat! If you want to loop Jane in, she would probably need a different style to get a bigger size, so I could research that (talking to Mom and Dad mostly, I guess.) Was thinking red and blue in large for twins.","2016-05-29 19:19:43.852011","2016-05-29 19:20:11.864732",http://www.amazon.com/Danskin-Girls-Gymnastics-Sparkle-Leotard/dp/B00JYW41YQ/ref=sr_1_5?ie=UTF8&qid=1464549278&sr=8-5&keywords=gymnastics+leotards+metallic,41hcnIVrFnL._SY445_QL70_.jpg,image/jpeg,15398,"2016-05-29 19:20:11.086221",http://ecx.images-amazon.com/images/I/41hcnIVrFnL._SY445_QL70_.jpg,"---
:image:
  :medium:
    :width: 127
    :height: 222
"
230,Bathrobes,"Looking for terry bathrobes for the girls, but can't track any nice ones down. Plenty of fleece -- just not bathrobes. If you see any, they would love it!","2016-05-29 19:35:32.781510","2016-05-29 19:35:32.781510","",,,,,"",
231,"Hair Straightener","Don't know if these have to cost this much, but the twins are dying for one.","2016-05-29 19:39:30.596548","2016-05-29 19:39:50.158410",http://www.amazon.com/Professional-Ceramic-Flat-Iron-Straightener/dp/B01ENU33P6/ref=sr_1_22?s=beauty&ie=UTF8&qid=1464550671&sr=1-22-spons&keywords=best+selling+hair+straightener&psc=1,31kh39KpDTL._AC_UL115_.jpg,image/jpeg,2037,"2016-05-29 19:39:49.748278",http://ecx.images-amazon.com/images/I/31kh39KpDTL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 57
    :height: 20
"
232,"Ladylike nightgown","Something gorgeous like this in Size 12 would be adored.","2016-05-29 19:43:57.871024","2016-05-29 19:43:57.871024",http://www.amazon.com/Laura-Dare-Princess-Peignoir-Nightgown/dp/B01CIVA72O/ref=sr_1_4?s=apparel&ie=UTF8&qid=1464550982&sr=1-4&nodeID=1045424&refinements=p_4%3ALaura+Dare,31MCRt1gqlL._SX342_QL70_.jpg,image/jpeg,8145,"2016-05-29 19:43:57.495450",http://ecx.images-amazon.com/images/I/31MCRt1gqlL._SX342_QL70_.jpg,"---
:image:
  :medium:
    :width: 171
    :height: 214
"
233,Maker,"The twins want some sort of ""maker."" They have the ice cream maker and the sno-cone maker (just used today). This was one I thought of, but I'm open.","2016-05-29 19:45:51.314507","2016-05-29 19:45:51.314507",http://www.amazon.com/BLACK-DECKER-WMB500-Belgian-Stainless/dp/B000BQO7ZM/ref=lp_289942_1_24?s=kitchen&ie=UTF8&qid=1464551076&sr=1-24,41X0S1XxrmL._AC_UL115_.jpg,image/jpeg,4336,"2016-05-29 19:45:50.942868",http://ecx.images-amazon.com/images/I/41X0S1XxrmL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 51
    :height: 57
"
234,"Sewing Machine","The twins officially sew better than I do. They need a real sewing machine very much. This seems reasonable and good. Jo-Ann gift cards (http://www.amazon.com/Jo-Ann-Stores-25-Gift-Card/dp/B00VF0MCCS/ref=sr_1_fkmr0_1?s=arts-crafts&ie=UTF8&qid=1464551219&sr=8-1-fkmr0&keywords=gift+cards+from+joann+fabrics) would be much appreciated as a supplement for material and thread. They would also love to take further classes there, so this would help with that.","2016-05-29 19:48:17.097427","2016-05-29 19:48:17.097427",http://www.amazon.com/Brother-XL2600I-Affordable-25-Stitch-Free-Arm/dp/B000F7DPEQ/ref=sr_1_4?s=arts-crafts&ie=UTF8&qid=1464551161&sr=1-4&keywords=sewing+machine,41ysjnfgw9L._AC_UL115_.jpg,image/jpeg,3744,"2016-05-29 19:48:16.708895",http://ecx.images-amazon.com/images/I/41ysjnfgw9L._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 57
    :height: 56
"
235,"Water Toys","The twins want lots of water toys this year to play with in the yard. Here's one idea of many out there.","2016-05-29 19:49:35.843428","2016-05-29 19:49:35.843428",http://www.amazon.com/Banzai-Aqua-Blast-Obstacle-Course/dp/B00VVHHYBO/ref=sr_1_4?ie=UTF8&qid=1464551324&sr=8-4&keywords=water+toys,61ma_2BDlV8HL._AC_UL115_.jpg,image/jpeg,5850,"2016-05-29 19:49:35.479647",http://ecx.images-amazon.com/images/I/61ma%2BDlV8HL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 57
    :height: 43
"
236,"Bath and Body Works","Unlike me, the twins love stuff like this. A nice selection of something lovely would be great. Or a gift card even.","2016-05-29 19:51:36.843257","2016-05-29 19:51:36.843257",http://www.bathandbodyworks.com/home/index.jsp,scsrr_s16_none_hs.jpg,image/jpeg,56982,"2016-05-29 19:51:36.414751",http://www.bathandbodyworks.com/cms_widgets/26/51/2651127_assets/scsrr_s16_none_hs.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
237,"Clip-On Earrings","The twinnies don't have pierced ears but would LOVE more clip-on earrings. This is one idea.","2016-05-29 19:52:43.472285","2016-05-29 19:52:43.472285",http://www.amazon.com/Body-Candy-Handcrafted-Butterfly-Earrings/dp/B0030YYS38/ref=sr_1_8?s=apparel&ie=UTF8&qid=1464551462&sr=1-8&nodeID=7141123011&keywords=clip+on+earrings+for+girls,51UB902coSL._SY300_QL70_.jpg,image/jpeg,15834,"2016-05-29 19:52:43.080817",http://ecx.images-amazon.com/images/I/51UB902coSL._SY300_QL70_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
238,"Other things they've asked for","stationery kit, pottery set (Lily asks for this a lot), an adventuring kit like Tim has, a laptop (!), a gator (!!), clothes, dresses, chapter books (as they call them, even through they're old), art kit, and stuffed animals.","2016-05-29 19:55:23.684222","2016-05-29 20:36:26.736038","",,,,,"",
240,Spoiled,"I feel I am being spoiled by seeing Phantom and by lots of other good treatment I receive. If you want to know what I want, I want a really nice thick yoga mat. For some reason I really want a brown one. I want money to buy things at BN or Amazon. I want to have money to spend at a yarn or needlepoint shop. I want to see theatrical performances. I want to eat out with the family at delightful places. I would like a nice bike that works. I also would like a catcher's mitt and a baseball. I would like to see an Orioles game. The end.","2016-05-29 20:02:39.467596","2016-05-29 20:03:16.026118","",,,,,"",
241,"Fearless Symmetry: Exposing the Hidden Patterns of Numbers: Avner Ash, Robert Gross: 9780691138718: Amazon.com: Books","","2016-06-01 02:29:41.729614","2016-12-05 03:05:52.162744",http://www.amazon.com/Fearless-Symmetry-Exposing-Patterns-Numbers/dp/0691138710/ref=sr_1_1?ie=UTF8&qid=1464748114&sr=8-1&keywords=fearless+symmetry,41iAuB3xTaL._SY344_BO1_204_203_200_.jpg,image/jpeg,16680,"2016-12-05 03:05:51.801778","https://images-na.ssl-images-amazon.com/images/I/41iAuB3xTaL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 114
    :height: 173
"
243,"Quantum Computing since Democritus","","2016-06-06 14:01:46.106893","2016-12-05 03:05:02.168590",http://www.amazon.com/Quantum-Computing-since-Democritus-Aaronson/dp/0521199565/ref=sr_1_1?ie=UTF8&qid=1465221661&sr=8-1&keywords=scott+aaronson,41jlZi5Cc_2BL._SY344_BO1_204_203_200_.jpg,image/jpeg,14608,"2016-12-05 03:05:01.830370","https://images-na.ssl-images-amazon.com/images/I/41jlZi5Cc%2BL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 115
    :height: 173
"
244,"The Age of Em: Work, Love and Life when Robots Rule the Earth: Robin Hanson","","2016-06-06 14:02:43.819028","2016-12-05 03:05:13.470922",http://www.amazon.com/Age-Em-Work-Robots-Earth/dp/0198754620/ref=sr_1_1?ie=UTF8&qid=1465221723&sr=8-1&keywords=age+of+em,51pVA_2BWCyFL._SY344_BO1_204_203_200_.jpg,image/jpeg,24861,"2016-12-05 03:05:13.137428","https://images-na.ssl-images-amazon.com/images/I/51pVA%2BWCyFL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 116
    :height: 173
"
251,"How Not to Be Wrong: The Power of Mathematical Thinking: Jordan Ellenberg: 9780143127536: Amazon.com: Books","","2016-06-19 17:28:13.957304","2016-12-05 03:06:00.931552",https://www.amazon.com/How-Not-Be-Wrong-Mathematical/dp/0143127535/ref=redir_mobile_desktop?ie=UTF8&dpID=51PPvdldDbL&dpPl=1&keywords=how%20not%20to%20be%20wrong%20Ellenberg&pi=SY200_QL40&qid=1466357199&ref=plSrch&ref_=mp_s_a_1_1&sr=8-1,51Fi8hXVptL._SY344_BO1_204_203_200_.jpg,image/jpeg,21114,"2016-12-05 03:06:00.587640","https://images-na.ssl-images-amazon.com/images/I/51Fi8hXVptL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 113
    :height: 173
"
255,"Logicomix: An epic search for truth","","2016-07-10 03:07:52.349153","2016-12-05 03:06:23.101281",https://www.amazon.com/Logicomix-search-truth-Apostolos-Doxiadis/dp/1596914521,51ExA-wU3BL._SY344_BO1_204_203_200_.jpg,image/jpeg,26269,"2016-12-05 03:06:22.733150","https://images-na.ssl-images-amazon.com/images/I/51ExA-wU3BL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 124
    :height: 173
"
256,"Perfect Reading Bag","This purple reading bag is PRECISELY what I'm looking for. Please help!","2016-07-26 02:34:39.790235","2016-07-26 02:35:30.339537",http://www.levenger.com/bloomsbury-bookbag-13169.aspx,am2370_bloomsbury-bookbag_csw_pu.jpg,image/jpeg,93141,"2016-07-26 02:35:29.381265",http://www.levimage.com/image/web/product/briefcases_bags/am2370_bloomsbury-bookbag_csw_pu.jpg,"---
:image:
  :medium:
    :width: 300
    :height: 300
"
266,"LEGO Minecraft The Jungle Tree House","Minecraft Legos are the new hotness","2016-09-30 01:20:44.328074","2016-09-30 01:20:44.328074",https://smile.amazon.com/LEGO-Minecraft-Jungle-House-21125/dp/B01AW1R0OU/ref=sr_1_2?s=toys-and-games&ie=UTF8&qid=1475198258&sr=1-2&keywords=lego+minecraft,51WCOfO3-PL._SY300_QL70_.jpg,image/jpeg,19982,"2016-09-30 01:20:43.533911",https://images-na.ssl-images-amazon.com/images/I/51WCOfO3-PL._SY300_QL70_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
267,"Teen Titans Go Figures","","2016-09-30 01:22:58.377760","2016-10-03 01:30:01.330756",https://smile.amazon.com/Teen-Titans-Action-Figure-6-Pack/dp/B00FF9Y084/ref=sr_1_3?ie=UTF8&qid=1475198508&sr=8-3&keywords=teen+titans+go,41dk0XVx3XL._SY300_QL70_.jpg,image/jpeg,8720,"2016-10-03 01:30:00.666670",https://images-na.ssl-images-amazon.com/images/I/41dk0XVx3XL._SY300_QL70_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
268,"Minecraft Wall Torch","Ha! (Note that this is sold by ThinkGeek and not Amazon.)","2016-09-30 01:27:35.457322","2016-10-03 01:31:19.645218",https://smile.amazon.com/ThinkGeek-PDF00004852-Minecraft-Wall-Torch/dp/B00B0FV4FE/ref=sr_1_5?ie=UTF8&qid=1475198686&sr=8-5&keywords=minecraft,31EBqW_2BCe0L._SY300_QL70_.jpg,image/jpeg,6116,"2016-10-03 01:31:19.290788",https://images-na.ssl-images-amazon.com/images/I/31EBqW%2BCe0L._SY300_QL70_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
269,"Minecraft figure and accessories","Looks cool","2016-09-30 01:29:16.017054","2016-10-03 01:30:17.077468",https://smile.amazon.com/Minecraft-Player-Survival-Action-Figure/dp/B00DS5FBP8/ref=sr_1_4?ie=UTF8&qid=1475198863&sr=8-4&keywords=minecraft+steve,41balbMwfOL._SX300_QL70_.jpg,image/jpeg,8010,"2016-10-03 01:30:16.735992",https://images-na.ssl-images-amazon.com/images/I/41balbMwfOL._SX300_QL70_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 90
"
270,"Scaredy Squirrel Makes a Friend","Blake really liked the first Scaredy Squirrel, so this one or any of the others are all new to him.","2016-09-30 01:31:03.830847","2016-10-03 01:31:03.349901",https://smile.amazon.com/Scaredy-Squirrel-Makes-Friend-M%C3%A9lanie/dp/1554533856/ref=sr_1_2?ie=UTF8&qid=1475199007&sr=8-2&keywords=scaredy+squirrel,51HbLljHcJL._SX258_BO1_204_203_200_.jpg,image/jpeg,18816,"2016-10-03 01:31:03.002244","https://images-na.ssl-images-amazon.com/images/I/51HbLljHcJL._SX258_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 130
    :height: 130
"
271,"The Berenstain Bears","We have one Berenstain Bears book that we got in Chautauqua, called The Sitter, and Blake likes it a lot. On the back are a bunch of others and he espeicially liked the look of this one about Too Much Vacation, but this is a wide open area!","2016-10-01 16:03:13.851708","2016-10-03 01:30:41.229790",https://smile.amazon.com/Berenstain-Bears-Too-Much-Vacation/dp/0394830148/ref=sr_1_2?ie=UTF8&qid=1475337673&sr=8-2&keywords=Berenstain+bears+vacation,61o5mrPYtBL._SX218_BO1_204_203_200_QL40_.jpg,image/jpeg,10954,"2016-10-03 01:30:40.885471","https://images-na.ssl-images-amazon.com/images/I/61o5mrPYtBL._SX218_BO1,204,203,200_QL40_.jpg","---
:image:
  :medium:
    :width: 110
    :height: 110
"
272,"Literary postcards and other such items","I would love these, the Penguin pack, or any of the other related items!","2016-10-02 17:18:23.672216","2016-10-02 20:03:09.507368",https://www.amazon.com/Bibliophilia-Postcards-Obvious-State-Studio/dp/0553447890/ref=pd_bxgy_14_img_2?ie=UTF8&psc=1&refRID=Z8WKRKFA783VGRMEV987,51_2BmGU1HTPL._AC_UL115_.jpg,image/jpeg,4159,"2016-10-02 20:03:09.189723",https://images-na.ssl-images-amazon.com/images/I/51%2BmGU1HTPL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 39
    :height: 57
"
273,"Agatha Christie!","I'll take just about any AC mystery, except the one with the doctor narrating, since I vividly remember that one (but not the title).","2016-10-02 17:20:22.963582","2016-10-02 20:06:23.644579",https://www.amazon.com/Murder-Orient-Express-Hercule-Mysteries/dp/0062073508/ref=sr_1_5?s=books&ie=UTF8&qid=1475428767&sr=1-5&refinements=p_27%3AAgatha+Christie,51kM1EirgDL._AC_UL115_.jpg,image/jpeg,4662,"2016-10-02 20:06:23.287894",https://images-na.ssl-images-amazon.com/images/I/51kM1EirgDL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 35
    :height: 57
"
274,Gadget,"Some cool gadget that enhances one's phone experience, from those who know far better than I, would be fun!","2016-10-02 17:20:55.349449","2016-10-02 20:06:07.231284",http://www.theverge.com/a/gadgets-2016-wearables-drones-vr-smart-home-the-future,final_cb_0086.0.jpg,image/jpeg,916547,"2016-10-02 20:06:04.290518",https://cdn0.vox-cdn.com/uploads/chorus_asset/file/6384159/final_cb_0086.0.jpg,"---
:image:
  :medium:
    :width: 300
    :height: 218
"
275,"Lego's Jurassic World","I went for broke here -- you know me. Any of the Jurassic Worlds are unknown to Tim and up for grabs!","2016-10-02 20:02:43.293203","2016-10-02 20:02:43.293203",https://smile.amazon.com/LEGO-Jurassic-Indominus-Breakout-Building/dp/B00UPB9RVM/ref=sr_1_2?s=toys-and-games&ie=UTF8&qid=1475438456&sr=1-2&keywords=lego+jurassic+world,617xs1xtBVL._AC_UL115_.jpg,image/jpeg,5620,"2016-10-02 20:02:42.685664",https://images-na.ssl-images-amazon.com/images/I/617xs1xtBVL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 57
    :height: 45
"
276,"Swagger Wagon","I need an updated one of these. 8 seats, sun roof, and bluetooth preferred.","2016-10-02 20:07:46.018879","2016-10-02 20:07:46.018879",http://www.toyota.com/sienna/?&srchid=sem%7cGOOGLE%7cSienna%7cModel_Sienna%7cSienna_General_2017_E%7cSienna_Evergreen_MY17%7cSienna_MLP&gclid=CJmr3-71vM8CFdVMNwodtDUACA&gclsrc=ds,marquee-top-001-responsive.jpg,image/jpeg,693730,"2016-10-02 20:07:45.291553",http://www.toyota.com/content/vehicle-landing/2017/sienna/features/img/marquee-top-001-responsive.jpg,"---
:image:
  :medium:
    :width: 300
    :height: 66
"
277,Perfume,"","2016-10-02 22:59:15.846904","2017-11-24 19:42:06.119233",https://www.amazon.com/Jessica-Mcclintock-Women-Parfum-Spray/dp/B000BTO6CI?th=1,31ZXQHGBpiL._AC_UL115_.jpg,image/jpeg,1704,"2017-11-24 19:42:05.772416",https://images-na.ssl-images-amazon.com/images/I/31ZXQHGBpiL._AC_UL115_.jpg,"---
:image:
  :medium:
    :width: 20
    :height: 57
"
278,"Minecraft Foam Sword","I know it's weaponry, so feel free to substitute the pickaxe. ThinkGeek's versions are preferred.","2016-10-03 01:33:43.477238","2016-10-03 01:33:43.477238",https://smile.amazon.com/ThinkGeek-40-Minecraft-Foam-Sword/dp/B0064RFJI6/ref=sr_1_4?ie=UTF8&qid=1475458332&sr=8-4&keywords=Minecraft+sword,41Kgj8fqZ2L._SY300_QL70_.jpg,image/jpeg,7668,"2016-10-03 01:33:43.094180",https://images-na.ssl-images-amazon.com/images/I/41Kgj8fqZ2L._SY300_QL70_.jpg,"---
:image:
  :medium:
    :width: 112
    :height: 150
"
282,"Konkani Matrimony","Find best matches online for perfect relationship","2016-10-18 05:24:06.167757","2016-10-18 05:24:06.167757",http://www.truejodi.com/matrimony/konkani-matrimony/,,,,,"",
283,"Jason Bourne","Latest Bourne","2016-10-23 14:49:58.371187","2016-10-23 14:49:58.371187",https://www.amazon.com/Jason-Bourne-Blu-ray-DVD-Digital/dp/B01I0HVPA8/ref=tmm_blu_swatch_0?_encoding=UTF8&qid=1477233923&sr=1-1,,,,,"",
284,"Star Trek Beyond","Latest Star Trek","2016-10-23 14:51:51.259911","2016-10-23 14:51:51.259911",https://www.amazon.com/Star-Beyond-Digital-Combo-Blu-ray/dp/B01IS31U6S/ref=pd_bxgy_74_img_2?ie=UTF8&pd_rd_i=B01IS31U6S&pd_rd_r=NT1HHMWQ0PNN5XFQQX7C&pd_rd_w=FalN1&pd_rd_wg=1g59z&psc=1&refRID=NT1HHMWQ0PNN5XFQQX7C,,,,,"",
289,"One to Two Hours of Technical Support/Assistance",Computer/Cable/WiFi/phone-related,"2016-10-23 15:01:46.122302","2017-10-26 16:36:03.248535","",,,,,"",
290,"One to Two Hours of Technical Support/Assistance",Computer/Cable/WiFi/phone-related,"2016-10-23 15:02:44.579744","2017-10-26 16:36:21.737630","",,,,,"",
292,"Passion Planner","I would like the pink passion planner for 2017, which I think this links directly to. This is exactly what I need and want. Exactly.","2016-10-24 22:15:33.005168","2016-10-24 22:18:04.157447",http://www.passionplanner.com/buy/pre-order-bird-bees-blush-2017-limited-edition-classic-85x11,1475106788490,image/png,382541,"2016-10-24 22:18:03.438711",https://static1.squarespace.com/static/52bbd653e4b0525234c48f43/t/57ec569e6b8f5b2f60c245fc/1475106788490/,"---
:image:
  :medium:
    :width: 300
    :height: 91
"
295,PJs,"2X, please, in navy fairisle
","2016-10-30 20:27:02.765758","2016-12-04 17:52:41.518785",http://www.kohls.com/product/prd-2586506/plus-size-cuddl-duds-pajamas-starry-night-2-piece-pajama-set.jsp?color=Navy%20Fairisle,2586506_Navy_Fairisle,image/jpeg,95919,"2016-12-04 17:52:40.738160",http://media.kohlsimg.com/is/image/kohls/2586506_Navy_Fairisle?wid=882&hei=882&op_sharpen=1,"---
:image:
  :medium:
    :width: 300
    :height: 300
"
